FwVersion,SampleSize,Seconds,Picoseconds,CentreFreq,Bandwidth,OffsetFreq,GainIF,GainRF,RefLevel
-32,20
-8,-4
-16,-8
-12,-4
-4,-16
32,16
16,20
-8,-16
28,0
-8,24
16,-36
-4,-24
20,16
-8,-4
16,-4
0,24
-16,-24
-20,0
-12,-4
-16,0
4,-16
4,16
-4,-4
8,8
-20,0
-8,-16
20,-12
-24,4
0,4
20,-4
8,16
-12,0
-8,-8
0,8
-8,24
4,0
-20,-8
4,-16
-8,16
32,-28
12,24
0,12
20,4
4,0
-16,12
0,28
-16,-16
-20,32
0,8
-8,20
-8,4
16,-4
0,-16
-8,-4
-16,-24
24,0
8,12
4,-12
-12,-4
-16,24
12,-16
-16,-12
0,-12
-8,8
0,-8
4,-32
-12,8
-12,-4
-8,12
-8,-4
-8,-20
-12,-8
0,8
12,-12
24,16
4,48
-4,-12
24,12
-4,-4
-24,0
-16,-4
-4,-4
0,0
-12,-32
-16,8
4,4
0,-8
-8,12
20,-4
-4,12
-20,4
-4,4
24,16
20,-4
-12,4
16,16
-12,-12
12,-8
12,-8
8,-4
-12,4
8,16
20,8
-8,0
16,-24
12,-12
-4,8
0,16
8,8
4,-8
-16,0
24,12
-8,20
-8,-4
24,24
16,-8
24,-16
-4,-8
-4,4
4,8
8,0
-28,-8
0,16
4,-4
0,0
36,-12
0,8
-16,0
4,36
0,-28
-4,4
24,8
-12,-8
16,0
16,8
0,-20
8,28
0,0
4,12
8,16
8,0
-20,-4
0,-8
0,12
28,12
12,12
16,0
12,0
-4,16
0,8
-4,-4
8,16
4,-24
16,16
8,12
8,0
16,0
16,-4
0,8
20,-4
-8,12
8,20
0,-12
12,4
-12,16
24,4
-4,0
0,4
4,-24
0,-20
-12,0
24,8
-40,12
0,-8
-20,4
36,-4
-8,20
-20,0
4,-16
-4,-8
-16,12
-8,0
20,0
4,-12
-36,0
20,-8
-4,20
-4,-32
0,8
16,12
0,-12
-8,12
36,0
-4,16
0,12
0,-4
0,-8
-12,-4
-16,-36
-8,12
0,0
20,0
0,-4
8,16
16,-12
8,20
12,0
-40,8
16,8
8,16
12,8
8,-4
-32,20
-12,-20
16,12
-4,-8
4,-20
-4,-4
16,-8
12,4
-4,28
4,-20
20,16
16,-4
0,4
-8,0
-4,-40
-4,0
4,-4
16,0
16,12
4,4
24,-16
24,-4
16,-8
0,-4
24,-12
12,12
-20,4
12,4
0,0
-8,8
4,-4
-28,20
-16,4
4,12
8,-8
4,0
4,12
16,-20
-4,24
-4,20
0,8
4,32
8,-12
0,-28
-4,24
-16,-8
20,4
-12,-8
4,-8
-4,4
4,20
-16,-20
8,-16
4,0
-8,16
0,8
8,28
-12,12
4,12
4,-4
-16,16
-4,12
-8,0
0,-4
-16,-12
-16,-12
24,-8
16,8
-24,-12
24,8
12,24
4,-4
28,8
24,-28
-16,0
8,12
0,-16
4,-8
-4,-8
4,40
-16,-8
0,-8
16,-12
0,-16
4,4
-4,8
4,16
4,-12
12,4
20,-4
-16,-8
16,0
20,0
-32,16
4,-16
-20,16
-4,28
-8,-40
8,8
-12,4
20,-20
4,8
12,28
8,-8
-4,0
12,0
-20,-8
4,12
24,-12
0,24
-4,20
20,8
-12,12
-8,8
24,4
0,-8
0,-20
16,-4
0,4
20,16
4,12
-28,-4
16,-12
0,8
4,0
-20,4
-16,12
20,4
4,20
8,-16
16,32
0,-4
-8,-8
0,-12
FwVersion,SampleSize,Seconds,Picoseconds,CentreFreq,Bandwidth,OffsetFreq,GainIF,GainRF,RefLevel
2.6.3,1024,1372096343,980516300000,2400000000,125000000.00,0.00,0.00,-30.00,33.00
-8,-4
-4,-12
0,16
12,28
-4,-4
-12,4
-16,0
-4,-8
-24,12
-24,-16
-8,24
12,4
16,-16
-4,12
-4,0
16,8
-4,12
0,-4
-20,4
20,24
4,8
-16,-20
8,20
24,-12
-32,-8
-8,4
-12,8
-12,0
0,24
-12,-16
16,-8
8,-24
4,28
12,8
4,12
0,-4
4,-16
-4,28
4,-16
-8,20
-8,4
-4,-4
0,12
8,12
4,-8
0,12
-24,8
0,-28
8,24
-8,-4
-4,-32
-4,12
16,4
0,-8
0,-12
-12,-12
0,-4
-12,-12
-4,0
0,-12
-20,-4
-8,16
8,0
12,-16
16,-4
4,12
12,-12
-12,24
24,0
20,12
8,-16
-16,16
8,16
-24,-28
0,-16
8,0
12,24
32,-24
12,12
8,12
12,-4
0,-4
8,8
-12,8
12,-8
-12,20
28,8
-12,0
8,28
12,-8
28,-4
-8,-12
0,-4
4,16
24,20
12,-16
0,0
0,16
12,-4
-8,-4
24,12
-16,20
12,-12
-16,36
8,-8
4,0
-4,0
28,-24
8,12
-8,4
12,12
24,4
16,8
-12,8
4,-24
-20,8
20,4
-4,16
8,-4
-36,-4
-4,4
28,-24
-4,0
-20,12
12,4
0,4
-8,-4
-12,20
-4,-8
-16,-4
24,0
16,-20
20,8
0,0
0,28
0,0
-4,-8
-16,4
8,-20
-16,-4
-12,-20
4,-12
4,-4
8,12
-24,-16
24,-4
24,0
4,4
24,8
-24,-20
-8,0
-4,8
20,8
-36,8
16,-4
20,36
36,20
-12,-20
-4,-8
4,4
-16,0
28,16
20,-8
16,-12
-4,-4
0,4
8,0
-20,0
16,4
-4,-12
12,0
-16,-12
-12,4
-12,0
-16,-24
20,0
20,4
-12,16
-8,0
0,-8
4,-4
-24,-4
16,-4
-12,4
16,12
-4,4
-24,-4
12,-24
16,32
24,-4
-8,8
-4,32
0,4
-12,16
-4,12
8,12
12,4
16,28
20,-12
16,-8
36,-32
0,-8
0,8
-8,8
-20,-4
0,4
8,4
12,0
0,32
-4,8
8,-4
24,-32
16,20
-8,8
-8,16
20,12
32,4
20,4
-12,12
16,0
0,-4
-8,4
0,-20
-12,20
28,-12
-12,12
36,16
8,-8
12,8
-8,-12
8,0
4,-8
8,0
12,-16
20,-16
12,8
20,-4
24,4
12,-4
0,0
24,4
0,-4
12,28
-4,12
8,16
-8,-24
4,20
-4,24
-20,-4
-8,20
0,-8
8,0
16,0
12,16
-8,12
0,-40
20,-4
-20,16
-4,-4
-8,-8
-16,-4
4,20
8,4
8,12
-8,-4
16,-16
8,16
-12,0
-4,-28
0,24
-16,4
4,-12
0,0
-4,-32
0,12
-12,-8
-12,-8
4,-8
-24,12
28,-12
8,16
-12,16
8,20
20,-8
4,16
4,20
8,4
12,-4
-4,4
-12,-20
32,-16
8,8
8,20
12,-12
20,-16
0,4
-8,-20
4,16
-12,-8
16,4
-8,-4
-4,4
4,20
-4,-4
8,-40
4,0
-8,-12
0,0
4,-4
-4,0
-12,8
16,-4
20,4
-4,-24
-4,0
0,4
-12,-8
-20,-20
20,8
20,8
12,-12
4,-8
-20,20
-4,-12
-4,8
8,-20
-20,12
0,-4
-8,20
0,-24
0,-16
0,-4
-4,-8
24,-8
-20,-16
28,-16
-16,0
12,28
24,24
20,8
8,-16
-8,-4
-8,16
0,-8
-8,-12
-24,12
0,0
4,8
4,12
16,-12
-8,-24
8,-8
-20,-16
-12,16
-20,16
20,-28
0,8
4,0
-4,4
-8,4
24,-4
0,-16
20,20
8,-8
-12,16
-4,-4
12,12
12,16
-24,-12
4,-4
-4,32
-20,-8
8,20
-32,-8
12,24
16,4
12,-16
-8,0
16,-8
16,12
-20,4
16,24
16,4
-4,-20
24,4
16,8
16,-16
0,-4
-8,-4
4,-8
24,12
-8,-16
-4,-20
16,-8
8,16
0,-24
0,8
-8,8
-8,-12
20,12
16,8
-12,-8
-20,12
12,8
4,-4
8,32
-4,12
20,4
8,16
4,12
-8,16
24,0
-4,-4
-24,24
16,-4
4,20
8,8
16,-4
-8,-20
24,12
20,24
-8,8
-8,-20
-12,-16
4,0
-16,28
-4,12
-8,0
-28,-16
12,-12
0,20
4,-4
8,8
-12,4
8,8
12,0
-16,0
-12,16
20,20
0,-16
-8,4
-8,0
-24,16
-4,8
-4,0
20,4
8,-4
0,-24
24,20
12,40
-8,8
12,0
24,-12
24,8
8,-8
4,-4
52,-16
-8,-4
8,8
4,20
16,12
-20,0
8,-4
8,4
16,16
0,4
24,16
12,-16
-4,-8
12,8
0,-28
-28,-12
32,-16
28,16
4,4
0,-8
12,-4
4,24
-28,-16
-4,-28
24,32
-12,0
0,-8
4,4
4,12
4,-4
-12,0
20,8
16,8
28,28
20,4
20,4
4,16
0,16
24,8
0,-16
8,16
16,-12
-8,8
16,-8
12,8
4,-16
0,12
16,0
16,4
20,-4
4,-20
0,-12
-12,8
0,-16
8,0
8,4
4,-4
0,-16
0,0
-4,16
8,4
-4,0
-20,-12
16,-4
-4,8
-4,28
-12,12
4,12
0,-4
8,0
-4,8
-12,16
44,-20
16,-8
0,20
-8,-12
12,16
-16,-4
8,-4
-4,12
4,-12
-8,8
4,24
36,4
4,4
12,16
16,-28
-20,20
-8,8
4,-24
0,24
-4,-16
-8,8
-12,20
-16,-4
16,4
12,8
36,-8
-24,0
-4,0
-8,-4
-4,12
28,8
-24,12
-24,-12
16,16
0,4
-4,0
-8,24
28,0
0,-20
-4,0
20,-4
4,0
0,4
-28,4
-16,-12
20,12
-16,-16
-8,-20
24,16
-12,-8
28,12
-16,-12
12,-24
-16,0
-4,20
4,-16
20,-4
4,16
-8,-12
4,-40
-4,16
8,12
-4,-12
16,-12
-8,-8
-4,12
36,12
-4,-12
16,8
16,-4
8,-4
-4,16
4,12
20,16
20,-12
12,16
-4,8
-8,-32
-8,28
-12,4
16,4
0,-20
8,20
-4,-4
-8,-8
-12,12
-12,-12
4,-8
-8,-4
16,-4
8,-12
24,16
12,8
8,-8
-4,-28
4,20
24,4
-8,-12
4,8
-20,-12
20,-12
0,8
-24,-24
16,8
-20,-36
-20,16
0,16
16,-20
16,-24
20,0
12,4
8,4
-20,8
20,-8
8,24
4,28
-8,-4
0,-8
-32,-12
12,16
20,-28
0,12
-4,16
-12,-4
8,12
-20,8
8,8
-8,0
8,12
32,0
-28,0
12,-4
12,24
8,-12
-4,12
0,-16
8,-24
-12,-12
28,8
0,-16
-4,-12
8,-4
0,-8
0,-4
0,4
4,-12
4,-8
-12,-12
-12,0
0,0
4,12
-8,8
-8,4
4,-16
12,-4
-8,0
24,4
16,-16
-4,16
-16,-4
24,36
0,-36
0,0
-8,-4
20,28
4,20
4,-4
-16,8
16,-16
-8,0
4,-12
24,0
-12,4
-4,16
8,-12
-8,4
28,8
4,8
20,16
4,-12
4,-20
-4,-16
12,-4
8,24
4,-20
-16,40
24,0
0,-12
-16,-16
0,-20
24,12
-8,4
-16,4
16,-4
0,0
-16,24
-4,0
16,28
16,-12
16,12
-16,40
-12,-4
-4,-32
8,-20
16,4
-20,-12
4,-20
-4,-8
4,12
-12,0
-4,-4
4,4
20,20
16,0
-4,-32
8,-4
-8,0
12,-8
24,12
-16,20
-4,4
-28,4
20,24
-24,32
-12,8
0,20
24,-4
-16,16
4,-8
4,-12
0,-4
8,12
-12,-8
20,-28
12,28
4,0
-8,0
-12,-12
-4,0
24,12
-16,-16
16,0
36,0
-8,-12
-24,-4
-4,0
8,8
4,-4
20,0
-4,-12
-4,-4
8,-8
12,0
8,-8
4,-16
12,0
-20,20
16,8
32,-32
-28,-8
-4,-4
4,-4
-4,16
-12,8
0,0
8,20
8,-8
-12,16
4,24
12,-20
-36,8
12,-4
12,4
-12,4
0,4
24,-24
8,4
-12,-20
-4,8
-12,8
12,-8
12,-16
0,16
-8,4
-28,-8
-4,-8
4,4
8,-4
8,4
-4,4
4,16
-8,0
24,-12
-8,24
-8,-4
20,-8
0,-12
12,-16
24,-16
12,4
16,20
12,12
-8,0
28,16
20,4
0,0
-8,24
12,-16
20,24
0,0
-4,4
-12,-24
24,-8
-28,8
-12,4
12,12
0,12
12,16
-8,4
12,32
0,12
-12,12
8,-8
8,0
-12,4
0,8
-8,24
4,12
4,-20
4,36
-8,8
-12,-16
-12,-8
-4,-4
-8,4
0,12
-12,0
-8,24
-8,0
8,-32
0,4
-8,32
20,4
-8,4
8,-20
0,4
4,24
12,28
0,-24
16,8
-8,-12
24,-4
-16,-12
20,8
-8,24
4,0
0,16
4,16
20,0
4,0
8,-8
-12,12
20,16
4,-20
12,0
20,-12
0,12
24,8
0,8
4,16
4,8
4,20
-8,20
-8,-12
-4,-4
-32,8
16,8
16,-20
4,4
-44,24
-12,-24
40,-12
12,24
-8,-36
28,12
4,8
-12,4
0,-12
4,8
12,36
-8,-16
0,0
-12,8
0,-28
12,8
0,-4
20,8
0,20
-8,-12
4,4
12,-8
16,-8
-8,-24
16,-12
-4,4
4,12
4,0
8,8
4,-8
16,-12
-12,24
24,20
-12,-16
8,20
0,16
0,4
-24,0
-4,16
12,20
-4,-32
12,-20
8,-16
12,-12
-12,8
4,-12
16,16
-4,12
-16,-12
4,24
16,-4
16,4
8,-8
16,-8
-28,4
-12,16
8,16
-12,4
0,4
12,-36
4,8
16,24
4,-12
16,12
16,-20
-8,8
-4,0
-4,-32
8,4
-12,-8
-4,-4
-20,12
-12,-20
20,4
-12,-8
0,16
0,-20
24,-4
24,-8
-16,0
0,16
-12,-12
-8,12
0,8
-4,28
20,-8
16,-4
16,0
-28,-4
-4,8
24,-8
-8,8
12,8
-8,-20
16,0
-4,24
-16,-8
16,-20
16,24
20,16
0,8
-8,-4
-4,0
-12,-32
0,-8
-20,-20
-12,20
-4,-8
20,-4
-8,4
-4,8
8,-4
-8,0
-20,-20
12,-8
8,8
32,-4
FwVersion,SampleSize,Seconds,Picoseconds,CentreFreq,Bandwidth,OffsetFreq,GainIF,GainRF,RefLevel
2.6.3,1024,1372096343,981570200000,2400000000,125000000.00,0.00,0.00,-30.00,33.00
4,-8
-8,4
4,4
-8,-8
-4,16
12,-8
0,-4
-24,-24
-16,32
4,-4
8,0
-8,-8
-20,0
20,12
20,-4
-16,20
12,8
-16,-12
-24,0
12,-8
8,16
8,12
-4,-4
-4,12
8,-16
4,12
-28,8
12,-8
0,8
-16,-4
8,8
-16,16
8,16
16,0
0,-8
-12,16
-32,20
12,20
4,8
8,-4
-8,20
4,8
-16,-16
0,-16
8,28
16,-8
0,-20
16,4
-12,-12
4,-28
32,8
8,16
0,-20
20,32
-4,4
24,16
20,-28
24,-16
4,0
0,4
8,0
40,-8
0,4
-8,12
4,12
-16,0
-24,-32
-16,8
20,-4
8,-20
20,28
4,4
0,-20
4,-24
-8,20
-12,-4
-16,-4
-12,8
-4,12
4,-8
12,4
8,12
32,-20
16,8
4,-12
12,-4
8,-4
-16,0
24,4
-4,-24
20,0
-8,24
-20,0
20,-12
-8,0
-12,16
-8,8
20,-12
0,12
8,-28
-8,0
4,-24
4,0
-20,-16
12,-8
8,4
-12,0
16,8
-4,-4
0,8
-8,-12
0,8
32,-16
0,28
-8,-12
-12,12
-4,-20
8,4
-4,4
0,8
-20,-4
0,12
4,40
8,-16
12,-4
-4,-4
-4,-8
0,4
0,24
8,20
0,-8
-4,24
-32,-20
24,8
12,-8
8,4
0,-4
8,20
0,-12
-20,0
20,-4
16,-8
-20,-16
4,0
-16,20
0,16
0,12
4,24
24,4
-8,-8
-8,8
-24,-8
8,0
8,4
8,-32
-16,-16
-8,20
12,-16
4,-12
-16,8
-8,-20
4,-4
-12,24
-16,0
12,36
24,0
12,-12
4,-8
16,0
-12,12
-24,-4
-8,4
4,-8
-8,12
20,20
-4,4
0,-20
12,-32
0,0
0,12
20,8
-12,16
-8,-12
8,-4
28,24
-8,0
-24,-8
0,-12
-12,12
8,-20
0,8
-4,-20
16,4
-4,12
0,-8
12,0
-16,28
8,-16
-8,4
0,8
16,-8
4,-24
4,0
20,-8
-20,20
8,-4
-8,8
-4,-12
-4,-16
16,-16
-12,16
-12,0
-4,-16
20,16
-12,-8
-4,12
-8,24
4,-4
20,-8
-12,0
0,4
-8,-12
-12,-8
8,4
24,-12
8,-8
8,28
-12,24
-20,-8
20,0
-8,-8
-8,-12
8,16
0,12
-4,-12
4,-24
-8,4
-8,-16
8,12
16,52
16,0
12,-20
-4,8
12,4
-32,4
0,8
24,20
-16,4
4,8
12,-24
-4,-4
-8,8
28,-4
24,0
4,4
24,0
-16,4
-4,20
8,-8
-12,4
-8,-8
20,8
8,12
8,-24
16,0
-8,-8
-16,8
12,-16
0,4
-8,-4
36,-8
20,16
0,-32
0,-8
4,36
24,4
12,16
8,0
24,4
-20,4
-16,-12
28,20
4,20
0,-8
12,8
16,20
0,0
48,-20
4,12
16,24
4,0
-4,8
32,-20
0,-40
16,4
-24,28
-16,-4
-20,-8
12,-12
8,0
8,-28
-20,20
4,12
4,-4
8,0
8,28
0,-20
-12,16
-20,-8
4,32
8,-16
-8,-8
-12,0
0,-32
12,0
8,-4
12,4
-12,12
24,-8
16,-16
28,-4
8,0
12,16
-12,-12
20,-4
4,12
16,4
4,-8
-4,36
16,-20
-16,-8
8,4
16,0
-24,8
-4,8
-4,8
16,0
4,0
0,-16
-12,-16
-4,-12
0,-4
12,0
0,-12
-20,24
-4,-12
-8,-4
0,20
12,4
12,-20
-4,0
-24,12
-8,-12
-20,-4
4,24
20,12
-16,16
4,32
8,16
-20,-24
8,-20
12,16
32,4
-20,-4
12,0
-4,4
8,-4
-16,-4
0,-12
-8,-16
12,0
-12,0
-8,4
-20,-8
-16,-20
24,40
24,8
4,-8
-12,-8
0,12
-12,4
-8,12
16,8
36,0
16,-16
4,8
4,16
12,28
12,-36
0,0
0,20
20,-36
-32,20
16,-28
-16,-4
20,20
-4,8
8,4
4,28
4,-4
-8,-8
28,16
16,-12
-16,24
20,8
-4,4
-4,-4
4,8
-4,0
-4,-8
4,16
-20,12
0,-20
-12,-12
-24,32
8,-4
-12,20
8,8
28,8
-8,-16
-16,28
12,8
-8,4
8,0
-4,12
-24,12
0,-12
0,0
12,16
4,-16
4,4
4,-12
-12,8
0,0
-4,0
8,-8
12,24
28,-16
-16,-4
8,8
12,-16
-24,-4
-12,0
-4,4
16,8
12,0
-8,8
12,8
-12,-24
16,-4
-8,8
-8,-4
16,4
-4,0
12,-4
-8,16
28,12
12,-4
36,-12
0,-12
4,4
0,8
-24,16
24,12
-16,24
8,0
12,-16
-28,8
16,-8
-4,4
-8,4
0,8
8,-4
8,8
8,-28
-4,8
12,-24
-8,-12
0,4
-4,-16
4,0
-28,20
-8,-12
4,0
12,-16
0,0
12,8
12,-8
32,28
-20,8
20,-8
-20,-8
8,-8
-4,8
-4,-20
16,12
0,-16
24,12
12,-16
-8,-20
-8,-8
12,-12
-8,-8
-4,-12
20,12
0,4
44,0
4,4
-20,8
8,4
4,0
-28,-16
-24,-12
-4,-20
16,32
-16,-12
-12,-20
20,0
24,-28
8,-16
8,28
4,-16
-12,-8
-8,-12
-8,-8
-4,24
24,12
8,-20
4,0
32,-8
-16,20
16,0
20,8
20,12
0,-8
-4,-4
0,28
12,8
4,-16
-8,-4
0,28
-4,0
8,-4
8,-28
0,-20
8,4
0,8
0,8
8,32
8,16
24,12
8,4
8,-8
4,4
4,4
-12,12
4,-4
-4,8
20,-16
-8,20
-8,-28
-4,-16
-16,20
-8,0
4,-20
8,0
8,20
-4,4
16,-8
8,12
28,8
-8,4
28,-16
4,-16
8,-8
-4,-12
-16,4
8,-4
-4,8
-24,28
0,20
-20,-28
16,4
4,-4
12,24
20,-4
16,-20
-20,12
20,-20
-4,12
20,-16
40,4
-4,-4
20,-12
12,28
-8,16
0,-4
0,12
-12,-16
24,-4
-8,20
-24,0
16,-4
-8,12
8,12
12,-20
-4,8
32,4
-4,0
4,16
4,-8
-24,12
-16,4
-12,-16
-24,-12
16,8
4,-12
-12,12
-16,-4
-4,4
-32,-8
-8,0
8,-4
0,4
-16,-4
4,-4
-20,24
4,-20
20,4
4,4
-16,16
-4,4
4,8
8,-20
-16,16
8,-24
12,32
-12,16
20,-8
-16,8
4,24
-4,20
-8,-4
4,0
16,16
-8,4
-4,12
-8,0
-4,-4
12,8
-4,-8
12,-4
16,8
-28,0
-8,4
-20,0
-4,16
12,16
4,-12
4,8
-4,8
-8,8
16,-8
0,-4
-8,20
28,12
4,8
24,32
-12,8
8,-4
12,-12
20,8
-8,4
20,28
-16,36
8,8
20,-4
12,-8
-12,12
8,-4
8,12
8,8
-8,-8
20,-20
4,-16
4,8
8,8
16,4
-8,-8
-20,4
0,8
16,-12
12,4
4,4
-4,8
8,-32
8,4
-8,20
-8,-12
-12,8
-8,32
0,-12
20,-4
12,0
-4,20
0,-16
-20,20
12,12
-16,-8
16,-4
-4,-16
20,-8
-36,-8
16,0
8,24
24,-4
4,-24
16,-12
-16,0
28,-4
-32,0
4,-24
-16,20
8,24
12,-4
0,8
16,16
-12,-16
24,20
4,20
0,8
16,-12
0,0
4,12
-24,8
0,8
-4,-16
8,12
-4,-20
12,-8
12,16
-4,-12
4,0
4,4
4,12
-4,24
4,8
16,12
-28,-4
20,4
24,-12
24,-12
-8,20
16,-8
4,-4
-4,24
-20,-16
36,20
-4,-4
8,-24
4,0
20,-20
0,-12
12,40
4,4
8,-16
-24,0
-8,-24
16,0
0,16
-4,4
12,12
8,20
20,-12
12,8
16,4
-4,4
16,-12
-24,8
0,8
-16,4
4,0
4,16
24,4
-4,20
-28,-4
-4,32
4,-4
-8,4
20,4
0,16
-16,8
12,12
-8,12
-8,-12
4,40
-4,12
-4,-4
-8,16
-4,-28
20,8
20,4
8,4
-12,8
-12,-12
16,-8
28,-8
-8,-8
8,4
-12,-8
-20,-4
24,36
8,0
-20,0
32,0
16,0
4,-8
-16,12
-8,-8
0,32
4,-12
-8,16
-4,0
-8,8
-8,0
0,-8
24,0
-4,24
12,-8
8,-12
4,0
20,12
-4,-16
0,0
24,0
-28,20
-4,-32
0,-12
8,4
0,4
-4,0
0,20
32,0
24,-20
8,8
0,-12
4,4
4,-8
16,-8
-4,-24
0,-28
12,36
-4,4
0,-8
12,36
16,-12
-20,0
0,-12
-4,16
24,-20
8,20
-28,-4
-12,12
-4,-12
-12,4
-24,4
-12,0
0,-16
12,4
12,24
4,8
-12,0
-4,4
20,-24
8,12
-20,28
0,16
24,4
12,8
-4,16
-8,8
8,-28
8,8
4,16
-4,-12
-4,-8
-12,-12
-36,-12
16,-16
-8,12
-4,12
0,-20
0,8
0,-12
28,0
12,4
8,32
8,16
-16,4
4,4
20,0
-24,-8
4,-12
8,-16
-4,16
8,-16
-4,0
-8,-20
-8,4
20,-12
0,8
0,-4
4,-12
-28,4
4,0
-12,20
16,-4
-28,4
8,16
12,-28
0,4
0,4
-4,-8
0,-20
-4,12
20,0
4,-20
-16,-8
12,8
-28,32
0,-20
-8,-4
-12,-16
-16,12
4,20
-12,-16
-12,16
20,8
-8,20
12,24
12,4
-12,-8
4,20
24,-32
0,12
16,0
-24,-28
8,0
4,-4
0,4
-4,12
-12,-4
-12,4
0,-12
24,0
-4,12
-16,0
-8,-4
4,4
8,0
-4,12
-12,28
-4,4
20,-20
0,8
12,-28
-4,12
4,16
12,40
-4,0
-8,-20
-16,8
8,36
20,-32
0,4
-4,-20
-4,16
28,32
-4,4
-16,-4
-12,0
-24,16
8,4
20,-20
0,-8
16,24
-4,-28
-8,0
12,-12
4,12
16,8
-8,-20
12,-8
-16,-4
16,-8
-12,-20
-12,28
20,-16
-8,12
4,-8
8,-4
16,12
-8,-8
-16,-12
-20,-8
-4,-20
0,-16
0,-12
32,-4
4,0
-8,-20
20,0
-36,0
12,8
-8,-12
4,-4
8,-24
32,8
-8,4
8,-24
4,12
8,36
20,-12
28,0
